Time,Open,High,Low,Close,Change,%Chg,Volume
2/20/2019,128.7,129.64,127.83,128.43,-0.21,-0.16%,6301200
2/19/2019,127.38,129.14,126.86,128.64,0.88,0.69%,6092500
2/15/2019,125.6,127.91,125.03,127.76,3.63,2.92%,6828300
2/14/2019,123.15,124.385,122.71,124.13,-0.29,-0.23%,3749500
2/13/2019,124.35,124.89,124.22,124.42,0.44,0.35%,2463500
2/12/2019,123.36,124.35,122.71,123.98,1.26,1.03%,3539900
2/11/2019,122.9,123.11,121.51,122.72,0.23,0.19%,3915900
2/8/2019,120.29,122.52,120.22,122.49,1.77,1.47%,3941800
2/7/2019,120.36,120.99,118.99,120.72,-0.64,-0.53%,4647300
2/6/2019,120.86,121.73,120.34,121.36,0.59,0.49%,3502400
2/5/2019,119.82,120.79,119.08,120.77,1.63,1.37%,4526200
2/4/2019,118.99,119.25,117.88,119.14,0.16,0.13%,4944700
2/1/2019,119.59,120.03,118.11,118.98,0.91,0.77%,4136300
1/31/2019,119.57,119.57,117.625,118.07,-1.05,-0.88%,6081400
1/30/2019,118.6,120.25,117.25,119.12,1.28,1.09%,7317900
1/29/2019,115.57,118.22,115.5,117.84,2.76,2.40%,10829800
1/28/2019,115.2,115.26,113.77,115.08,-0.73,-0.63%,8911900
1/25/2019,116.34,116.9,115.08,115.81,0.25,0.22%,4641400
1/24/2019,117.75,119.35,114.54,115.56,-1.48,-1.26%,9035400
1/23/2019,117.3,119.34,114.35,117.04,5.98,5.38%,12561800
1/22/2019,113.01,113.16,110.65,111.06,-2.84,-2.49%,5689000
1/18/2019,114.29,114.7,112.9,113.9,1.13,1.00%,4636100
1/17/2019,110.37,113.5,110.3,112.77,,,3196100
1/16/2019,111.09,111.59,110.45,110.87,,,3887400
1/15/2019,110.75,111.22,109.54,111.06,,,2797200
1/14/2019,109.2,111.47,108.8,110.85,,,3177800
1/11/2019,109.56,109.98,108.62,109.95,,,3624800
1/10/2019,108.76,110.54,108.73,110.41,,,3378300
1/9/2019,109.56,109.64,108.54,109.32,,,4233400
1/8/2019,108.84,109.45,107.35,108.9,,,3745400
1/7/2019,107.06,107.41,105.54,106.97,,,5232600
1/4/2019,104.12,107.2,103.51,107.02,,,6345700
1/3/2019,107.55,108,103.23,103.48,,,5591000
1/2/2019,105.16,108.35,104.24,108.3,,,5891300
12/31/2018,105.6,106.48,105.24,106.48,,,4436300
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Downloaded from Barchart.com as of 01-18-2021 02:26am CST,,,,,,,
